date,time,property,platform,video,asset,text
2026-07-11,10:00,Talley Wealth,Google Business Profile,IMG_4167,gbp,"Many people start investing by asking what rate of return they 'should' have. But that's the wrong first question. Inste"
2026-07-12,10:00,Talley Wealth,Google Business Profile,IMG_4168,gbp,"Retirement planning covers your investments and taxes, but have you stopped to ask what you really want your life to loo"
2026-07-13,11:00,Talley Wealth,Instagram,IMG_4131,video,"Most business owners outgrow their tax strategy without realizing it. If you are making more but still using the same ol"
2026-07-13,17:00,Talley Wealth,Instagram,IMG_4133,video,"If you only talk taxes in April, you’re leaving money on the table. Tax planning is about year-round decisions—how you p"
2026-07-14,11:00,Talley Wealth,Instagram,IMG_4167,video,"The worst investing question? 'What rate of return should I have?'  We need to rewind. First: How long do these dollars "
2026-07-14,17:00,Talley Wealth,Instagram,IMG_4168,video,"Retirement is more than just numbers. Most of us spend so much energy planning for financial security, but never stop to"
2026-07-15,11:00,Talley Wealth,Instagram,IMG_4130,video,"You can be rich inside your business and still feel lost outside of it. If all your wealth lives in the business, it's m"
2026-07-18,11:00,Talley Wealth,Instagram,IMG_4130,carousel,"Rich in the Business—But Is It Real Independence?  Why building wealth outside your business matters more than most owne"
2026-07-31,08:00,Talley Wealth,LinkedIn,IMG_4168,video,"Most retirement planning discussions are about the math—investments, taxes, making sure the numbers work. But what happe"
2026-08-01,08:00,Talley Wealth,LinkedIn,IMG_4130,video,"A lot of business owners feel rich inside the business but strangely unclear outside of it. What looks like success—big "
2026-08-01,09:00,Talley Wealth,Facebook,IMG_4167,video,"The most common investing question I hear is about rate of return. But that's not where the conversation should start. B"
2026-08-02,09:00,Talley Wealth,Facebook,IMG_4130,video,"I've seen a lot of business owners who are wealthy on paper because of their business, but still feel unclear or uneasy "
2026-08-04,08:00,Talley Wealth,LinkedIn,IMG_4130,carousel,"Rich in the Business—But Is It Real Independence?  Why building wealth outside your business matters more than most owne"
2026-08-05,09:00,Talley Wealth,Facebook,IMG_4130,carousel,"Rich in the Business—But Is It Real Independence?  Why building wealth outside your business matters more than most owne"
2026-08-08,21:00,Talley Wealth,X,IMG_4130,x_thread,"A lot of business owners feel confident because their business looks strong, good cash flow, solid growth, big valuation"
2026-08-09,09:30,Talley Wealth,X,IMG_4167,x_thread,"The most common question I get is, 'What rate of return should I look for?' It sounds simple, but skips key steps.  Firs"
2026-08-09,21:00,Talley Wealth,X,IMG_4168,x_thread,"Most retirement planning is about the numbers. But almost no one stops to ask: what do you actually want your life to be"
2026-08-11,09:30,Talley Wealth,X,IMG_4130,x_extra_1,"If all your wealth is inside the business, your financial independence is more fragile than you think."
2026-08-14,09:30,Talley Wealth,X,IMG_4130,x_extra_2,"""Real security is built outside the business, not just inside it."""
2026-08-17,09:30,Talley Wealth,X,IMG_4130,x_extra_3,"Misconception: Owning a successful business means you’re already set for life. The reality is, true independence might r"
2026-08-20,09:30,Talley Wealth,X,IMG_4130,x_extra_4,"Ask: If your business sold tomorrow, do you know what your life would look like financially? That is a planning question"